"Direct_X","Architecture","Manufacturer","Memory_Type","Open_GL","Shader","Memory_Bus","Name","Resolution_WxH","Core_Speed","L2_Cache","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","TMUs","Texture_Rate","Dedicated","Notebook_GPU","SLI_Crossfire"
"10.0","Tesla G92b ","Nvidia","GDDR3","3.3","4","256 ","GeForce GTS 150","2560x1600",738,0,141,1024,64,1000,64,47,TRUE,FALSE,TRUE
"10","R600 XT ","AMD","GDDR3","3.1","4","512 ","Radeon HD 2900 XT 512MB","2560x1600",600.293501288543,0,215,512,106,828,16,12,TRUE,FALSE,TRUE
"10","R600 PRO ","AMD","GDDR3","3.1","4","256 ","Radeon HD 2900 Pro","2560x1600",600.240592970815,0,200,512,51.2,800,16,10,TRUE,FALSE,TRUE
"10","RV630 ","AMD","GDDR4","3.3","4","128 ","Radeon HD 2600 XT Diamond Edition","2560x1600",772.665611614981,0,40.6253920138239,256,36.8,1150,8,7,TRUE,FALSE,TRUE
"10","RV630 ","AMD","GDDR3","3.1","4","128 ","Radeon HD 2600 XT","2560x1600",641.625577078046,0,45,256,22.4,700,8,6,TRUE,FALSE,TRUE
"10","RV630 ","AMD","GDDR4","3.3","4","128 ","Radeon HD 2600 XT 256MB GDDR4","2560x1600",753.443884090496,0,50,256,35.2,1100,8,6,TRUE,FALSE,TRUE
"10.1","R700 RV790 XT ","AMD","GDDR5","3.3","4.1","256 ","Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition","2560x1600",870,0,190,2048,134.4,1050,40,35,TRUE,FALSE,TRUE
"10","R600 GT ","AMD","GDDR3","3.1","4","256 ","Radeon HD 2900 GT","2560x1600",618.80185764382,0,150,256,51.2,800,12,7,TRUE,FALSE,TRUE
"11.2","Pitcairn XT GL ","AMD","GDDR5","4.3","5","256 ","FirePro D300","4096x2160",805.127932631084,0,150,2048,160,1250,80,62,TRUE,FALSE,TRUE
"7","RV100 ","AMD","DDR","1.4","1","64 ","Radeon 7000 64mb","1600x1200",540.008270566994,0,32,64,2.9,366,10.509344219755,-25.4887593185935,TRUE,FALSE,FALSE
"8.1","NV28GL A2 ","Nvidia","DDR","1.5","1.3","128 ","Quadro4 980 XGL",NA,519.272237846394,0,68.9538993861029,128,5.2,325,8,2,TRUE,FALSE,FALSE
"12.0","Fermi GF110 ","Nvidia","GDDR5","4.5","5","384 ","Tesla M2090","2560x1600",650,768,250,6144,177.6,925,56,36,TRUE,FALSE,TRUE
"12.0","Kepler GK110 ","Nvidia","GDDR5","4.5","5","320 ","Tesla K20","4096x2160",705,1536,225,5120,168,1050,96.0984532261776,131.527201159206,TRUE,FALSE,FALSE
"12.0","Kepler GK110 ","Nvidia","GDDR5","4.5","5","384 ","Tesla K40c","4096x2160",706,1536,245,12288,288.4,1502,240,169,TRUE,FALSE,TRUE
"7","RV200 ","AMD","DDR","1.4",NA,"128 ","All-in-Wonder Radeon 7500","1600x1200",524.805694818797,0,66.4835068514856,64,5.8,360,16.1373419080242,-16.889921695187,TRUE,FALSE,FALSE
"12.0","GCN 1.1 Oland XT + Kaveri ","AMD","DDR3","4.4","5","128 ","Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual","2560x1600",1050,644.02814521905,150,3072,57.6,900,28,62,TRUE,FALSE,TRUE
"11.1","Kepler GK104 x2 ","Nvidia","GDDR5","4.2","5","512 ","Tesla K10","4096x2160",880.327097237697,0,300,8192,320,1250,125.342634759672,180.107885802088,TRUE,FALSE,FALSE
"12.0","Kepler GK110 ","Nvidia","GDDR5","4.5","5","384 ","Tesla K20X","4096x2160",732,1536,235,6144,249.6,1300,112.057858609836,161.255711037793,TRUE,FALSE,TRUE
"12.1","Skylake GT3-E ","Intel","DDR4","4.4","5","128 ","Iris i3 6167U","4096x2304",300,512,28,239.11933013198,34.1,1067,8,8,FALSE,TRUE,FALSE
"9","R360 ","AMD","DDR","2","2","256 ","Radeon 9800 XT","2048x1536",641.861758237386,0,60,256,23.4,730,8,3,TRUE,FALSE,FALSE
